ID,Gender,Age,Class,Major,Grad Intention,GPA,Employment,Salary,Social Networking,Satisfaction,Spending,Computer,Text Messages
1,Female,20,Junior,Other,Yes,2.9,Full-Time,50,1,3,350,Laptop,200
2,Male,23,Senior,Management,Yes,3.6,Part-Time,25,1,4,360,Laptop,50
3,Male,21,Junior,Other,Yes,2.5,Part-Time,45,2,4,600,Laptop,200
4,Male,21,Junior,CIS,Yes,2.5,Full-Time,40,4,6,600,Laptop,250
5,Male,23,Senior,Other,Undecided,2.8,Unemployed,40,2,4,500,Laptop,100
6,Female,22,Senior,Economics/Finance,Undecided,2.3,Unemployed,78,3,2,700,Laptop,30
7,Female,21,Junior,Other,Undecided,3,Part-Time,50,1,3,500,Laptop,50
8,Female,22,Senior,Other,Undecided,3.1,Full-Time,80,1,2,200,Tablet,300
9,Female,20,Junior,Management,Yes,3.6,Unemployed,30,0,4,500,Laptop,400
10,Female,21,Senior,Economics/Finance,Undecided,3.3,Part-Time,37.5,1,4,200,Laptop,100
11,Female,23,Senior,Economics/Finance,Yes,2.8,Full-Time,50,2,5,400,Laptop,200
12,Male,21,Senior,Undecided,No,3.5,Full-Time,37,2,3,500,Laptop,100
13,Male,22,Senior,International Business,Undecided,3.4,Part-Time,40,2,3,400,Desktop,45
14,Male,22,Senior,International Business,Undecided,3.1,Part-Time,40,1,3,400,Laptop,150
15,Male,21,Senior,Management,Yes,3.2,Part-Time,54,3,4,600,Laptop,400
16,Male,24,Senior,Management,Undecided,3.4,Part-Time,45,4,4,500,Laptop,175
17,Female,19,Junior,CIS,Undecided,3.7,Part-Time,55,1,4,450,Laptop,150
18,Male,21,Junior,Economics/Finance,Undecided,3.1,Part-Time,55,2,3,600,Laptop,300
19,Male,19,Junior,Economics/Finance,Yes,3.5,Part-Time,52,2,5,500,Laptop,300
20,Female,20,Junior,Management,Undecided,3.2,Unemployed,60,2,6,300,Laptop,350
21,Female,22,Junior,Retailing/Marketing,Undecided,3.2,Part-Time,55,1,3,690,Laptop,50
22,Male,18,Sophomore,Accounting,Undecided,3,Unemployed,60,1,4,600,Laptop,500
23,Female,22,Senior,Retailing/Marketing,Undecided,3,Part-Time,55,0,4,300,Laptop,35
24,Male,22,Senior,Undecided,Yes,2.6,Full-Time,45,1,5,400,Laptop,600
25,Female,20,Junior,Economics/Finance,Yes,3,Part-Time,55,1,3,600,Laptop,300
26,Male,24,Senior,Management,Yes,3.3,Full-Time,60,0,1,300,Laptop,40
27,Male,20,Junior,Economics/Finance,Yes,3.1,Full-Time,65,1,5,375,Laptop,300
28,Female,20,Junior,International Business,Yes,2.9,Part-Time,50,3,1,900,Laptop,100
29,Male,22,Senior,Retailing/Marketing,Yes,3.3,Part-Time,55,1,6,1100,Laptop,60
30,Male,20,Sophomore,Retailing/Marketing,Undecided,3.1,Part-Time,45,1,4,400,Laptop,140
31,Male,20,Junior,Accounting,Undecided,3.4,Part-Time,55,2,3,500,Laptop,750
32,Male,20,Junior,Other,Yes,2.9,Part-Time,47,3,1,300,Laptop,300
33,Male,20,Junior,Accounting,Yes,3.6,Part-Time,35,1,4,200,Laptop,70
34,Male,22,Senior,Retailing/Marketing,Yes,2.6,Full-Time,40,1,4,1400,Laptop,800
35,Female,19,Junior,Retailing/Marketing,Undecided,3.4,Part-Time,40,1,5,500,Laptop,300
36,Female,26,Junior,Accounting,Yes,3.3,Part-Time,60,1,4,450,Desktop,300
37,Male,21,Senior,Management,Yes,3.1,Part-Time,40,1,4,500,Laptop,100
38,Female,21,Sophomore,Accounting,Yes,2.5,Part-Time,60,2,3,500,Laptop,600
39,Male,24,Junior,Economics/Finance,Yes,2.8,Part-Time,50,1,6,600,Laptop,50
40,Male,19,Sophomore,Retailing/Marketing,Yes,2.5,Unemployed,50,2,5,300,Laptop,100
41,Male,22,Junior,Accounting,Yes,3.2,Full-Time,60,1,4,680,Desktop,200
42,Female,20,Junior,Retailing/Marketing,No,3.3,Part-Time,30,1,4,600,Laptop,350
43,Female,22,Senior,Retailing/Marketing,Undecided,3.5,Unemployed,40,2,5,300,Laptop,50
44,Female,21,Senior,Retailing/Marketing,No,3.9,Part-Time,30,1,5,100,Laptop,900
45,Female,21,Senior,International Business,No,3,Part-Time,30,2,5,650,Desktop,500
46,Female,21,Senior,Management,Undecided,3.8,Part-Time,60,1,4,650,Laptop,150
47,Female,20,Junior,Retailing/Marketing,Yes,3.5,Unemployed,60,1,3,350,Laptop,200
48,Male,19,Sophomore,Undecided,Undecided,2.5,Part-Time,80,2,4,500,Laptop,150
49,Female,21,Senior,Economics/Finance,Yes,3.2,Part-Time,47.5,2,4,220,Laptop,105
50,Female,21,Senior,Economics/Finance,Undecided,3,Part-Time,45,1,3,520,Laptop,105
51,Female,21,Junior,Management,No,3.5,Unemployed,35,2,4,600,Tablet,100
52,Male,21,Senior,Management,No,3,Part-Time,50,1,4,500,Laptop,200
53,Female,21,Senior,Retailing/Marketing,Undecided,3.7,Part-Time,40,3,4,300,Laptop,700
54,Male,21,Junior,Retailing/Marketing,No,3.4,Part-Time,40,1,5,500,Laptop,300
55,Male,21,Senior,Other,Yes,3.4,Part-Time,50,1,4,250,Desktop,700
56,Female,21,Senior,Retailing/Marketing,No,3.1,Part-Time,50,1,1,300,Laptop,300
57,Female,21,Senior,International Business,Yes,3.4,Part-Time,42,1,1,200,Laptop,100
58,Female,21,Senior,International Business,No,2.4,Part-Time,40,1,3,1000,Laptop,10
59,Female,20,Junior,CIS,No,2.9,Part-Time,40,2,4,350,Laptop,250
60,Female,20,Sophomore,CIS,No,2.5,Part-Time,55,1,4,500,Laptop,500
61,Female,23,Senior,Accounting,Yes,3.5,Part-Time,30,2,3,490,Laptop,50
62,Female,23,Senior,Economics/Finance,No,3.2,Part-Time,70,2,3,250,Laptop,0
