Unpolished ,Treated and Polished
164.4817129,133.2093928
154.3070452,138.4827707
129.8610478,159.6652012
159.0961836,145.6635282
135.2567483,136.7892272
161.8201202,167.086582
149.4550537,152.6996408
135.7143169,138.6487657
102.0045188,163.3844269
89.482158,132.1417257
95.34903009,145.8285257
104.4214033,162.0816128
140.8893522,153.798449
147.3666473,159.0120051
48.40683839,168.3462233
68.25154209,132.6829555
126.1698324,151.2738748
130.4361532,130.9558037
120.8943152,141.3442879
107.2753413,171.1146621
64.57581982,139.7076719
136.6500503,125.8485996
94.63178559,152.3545271
154.6701824,155.1468488
75.28981154,145.2061887
149.0171371,168.6528203
162.3573614,131.9871467
113.6495183,148.595124
120.4372985,138.0538286
100.8909747,134.7560427
98.86570856,142.1567842
197.1891784,169.3977348
158.7379399,172.1216768
200.1613125,159.6643265
134.9060956,176.6235254
170.2872068,162.9822822
119.3877584,133.5344854
110.4433982,147.8183338
166.443693,129.432127
137.2807942,129.9384603
124.507005,123.8134055
128.1903431,155.3456458
160.4276072,168.180977
58.9813708,141.8871533
145.1790092,167.5268343
168.3300818,150.8986295
148.411066,169.3414697
165.9482676,149.5613269
184.5821484,192.2728563
140.941024,141.2310694
135.5971212,138.991494
181.4705084,153.6685097
108.5240271,129.5841103
150.3688946,143.8767178
146.236633,172.5909644
88.30798646,145.5232856
141.4385778,167.7339916
192.7357924,139.5526399
123.579612,152.0563415
105.3718854,152.0135062
187.9150262,146.2338029
135.1917291,155.7346308
178.0794314,154.4155251
121.4075252,107.5241671
157.6922561,130.0257216
154.8945347,153.818635
117.797946,107.5793882
126.8546667,145.7213216
126.4739973,136.8139439
117.0099874,142.718624
123.067611,142.293544
171.822218,140.1240923
88.13599379,141.3930911
145.1503969,131.3705296
170.8548227,144.5026468
