Age,Gender,Profession,Marital_status,Education,No_of_Dependents,Personal_loan,House_loan,Partner_working,Salary,Partner_salary,Total_salary,Price,Make
53,Male,Business,Married,Post Graduate,4,No,No,Yes,99300,70700,170000,61000,SUV
53,Femal,Salaried,Married,Post Graduate,4,Yes,No,Yes,95500,70300,165800,61000,SUV
53,Female,Salaried,Married,Post Graduate,3,No,No,Yes,97300,60700,158000,57000,SUV
53,Female,Salaried,Married,Graduate,2,Yes,No,Yes,72500,70300,142800,61000,SUV
53,Male,Salaried,Married,Post Graduate,3,No,No,Yes,79700,60200,139900,57000,SUV
53,Female,Salaried,Married,Post Graduate,3,No,No,Yes,79800,60500,140300,57000,SUV
53,Female,Salaried,Married,Post Graduate,3,Yes,No,Yes,80900,50800,131700,51000,SUV
52,Male,Salaried,Married,Graduate,4,No,No,Yes,79100,40400,119500,68000,SUV
52,Male,Salaried,Married,Post Graduate,4,No,No,No,89400,0,89400,61000,SUV
52,Male,Salaried,Married,Post Graduate,3,No,No,No,83700,0,83700,57000,SUV
52,Male,Salaried,Married,Post Graduate,4,Yes,No,No,81600,0,81600,67000,SUV
50,Male,Salaried,Married,Post Graduate,2,No,No,No,81300,0,81300,63000,SUV
50,Female,Salaried,Married,Graduate,3,Yes,No,No,77400,0,77400,62000,SUV
50,Female,Salaried,Married,Post Graduate,3,No,No,No,77600,0,77600,50000,SUV
50,Female,Business,Married,Graduate,3,No,No,No,74100,0,74100,66000,SUV
49,Male,Salaried,Single,Post Graduate,2,No,No,No,87600,0,87600,52000,SUV
49,Male,Business,Married,Post Graduate,3,No,No,No,86800,0,86800,60000,SUV
49,Female,Salaried,Married,Post Graduate,4,No,No,Yes,95100,70600,165700,64000,SUV
49,Female,Business,Married,Post Graduate,3,No,No,Yes,92600,70300,162900,58000,SUV
49,Male,Salaried,Married,Post Graduate,3,Yes,No,Yes,98400,60600,159000,54000,SUV
49,Male,Salaried,Married,Graduate,3,No,No,Yes,72700,60300,133000,53000,SUV
49,Female,Salaried,Married,Post Graduate,4,Yes,No,Yes,84600,45500,130100,62000,SUV
47,Female,Business,Married,Post Graduate,3,No,No,Yes,88000,40200,128200,55000,SUV
46,Female,Salaried,Married,Post Graduate,3,No,No,Yes,85400,40700,126100,59000,SUV
46,,Business,Married,Post Graduate,3,Yes,No,Yes,78000,600,78600,50000,SUV
46,,Salaried,Married,Post Graduate,3,No,No,Yes,87900,700,88600,50000,SUV
46,Female,Salaried,Married,Post Graduate,3,No,No,Yes,81900,27800,109700,68000,SUV
46,Male,Salaried,Single,Post Graduate,2,No,No,No,88500,0,88500,60000,SUV
46,Male,Salaried,Married,Post Graduate,3,No,No,No,87700,0,87700,56000,SUV
46,Female,Salaried,Married,Post Graduate,2,No,No,Yes,98300,70700,169000,61000,SUV
46,Male,Salaried,Married,Post Graduate,4,No,No,Yes,94900,70700,165600,67000,SUV
46,Male,Business,Married,Graduate,2,Yes,No,Yes,91100,70000,161100,66000,SUV
46,Male,Business,Married,Post Graduate,3,No,No,Yes,79800,40100,119900,56000,SUV
46,Female,Salaried,Married,Graduate,4,No,No,Yes,74500,40900,115400,61000,SUV
45,Female,Salaried,Married,Post Graduate,3,No,No,Yes,81700,27000,108700,52000,SUV
45,Male,Salaried,Single,Post Graduate,2,Yes,No,No,84700,0,84700,59000,SUV
45,Female,Business,Married,Post Graduate,3,No,No,No,82200,0,82200,61000,SUV
45,Male,Salaried,Married,Graduate,3,No,No,No,79600,0,79600,54000,SUV
45,Female,Salaried,Married,Post Graduate,3,No,No,No,77600,0,77600,64000,SUV
45,Male,Business,Married,Graduate,3,Yes,No,No,77700,0,77700,53000,SUV
53,Female,Salaried,Married,Graduate,1,Yes,No,No,72100,,72100,60000,SUV
53,Female,Salaried,Married,Post Graduate,4,No,No,Yes,96600,70300,166900,66000,SUV
52,Female,Salaried,Married,Post Graduate,3,No,No,Yes,94900,60300,155200,55000,SUV
52,Male,Salaried,Married,Post Graduate,3,No,No,Yes,87600,,88200,51000,SUV
52,Male,Salaried,Married,Graduate,3,Yes,No,Yes,72800,50800,123600,50000,SUV
52,Female,Business,Married,Graduate,3,Yes,No,Yes,73500,40500,114000,59000,SUV
52,Female,Salaried,Married,Post Graduate,4,Yes,No,No,90000,0,90000,61000,SUV
52,Female,Business,Married,Post Graduate,1,No,No,No,87100,0,87100,62000,SUV
52,Male,Business,Married,Post Graduate,4,No,No,No,79700,0,79700,63000,SUV
52,Female,Business,Married,Post Graduate,4,No,No,Yes,90300,,170400,69000,SUV
52,Female,Salaried,Married,Graduate,3,No,No,Yes,72200,60700,132900,57000,SUV
52,Male,Business,Married,Post Graduate,3,Yes,No,Yes,78300,50400,128700,52000,SUV
52,Male,Salaried,Married,Post Graduate,3,No,No,Yes,80900,40900,121800,50000,SUV
52,Female,Salaried,Married,Post Graduate,3,No,No,No,90200,0,90200,57000,SUV
51,Male,Salaried,Married,Graduate,3,No,No,No,79500,0,79500,50000,SUV
51,Female,Business,Married,Graduate,2,No,No,No,73400,0,73400,68000,SUV
